group,Date,KWH,Next_3_Days_Energy_Total,sunshine,global_radiation,max_temp,mean_temp,min_temp,pressure,cloud_cover_0.0,cloud_cover_1.0,cloud_cover_2.0,cloud_cover_3.0,cloud_cover_4.0,cloud_cover_5.0,cloud_cover_6.0,cloud_cover_7.0,cloud_cover_8.0,precipitation_0,precipitation_1,precipitation_2,precipitation_3,precipitation_4,snow_depth_0.0,snow_depth_1.0,Predictions
28,2013-01-23,1064.047,1100.521333333333,0.0,17.0,2.3,1.0,-0.6,100770.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,[1093.7395]
54,2012-11-14,1481.925,1499.492,312.0,60.0,10.1,12.0,9.7,102640.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,[1514.2262]
9,2013-08-28,673.596,706.7416666666668,552.0,215.0,24.7,18.5,12.2,102230.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[724.9903]
30,2012-10-28,1049.67,973.415,6.0,27.0,13.3,5.0,0.2,101550.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,[957.2456]
11,2013-04-10,964.208,937.711,186.0,128.0,13.4,7.0,2.8,100340.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,[975.36346]
16,2012-10-26,1177.579,1218.0316666666668,0.0,25.0,9.1,8.6,8.0,101280.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,[1220.975]
41,2013-03-24,1348.844,1110.5770000000002,0.0,49.0,1.5,0.7,0.0,101300.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,[1222.4208]
45,2012-10-23,1096.907,1100.128333333333,0.0,26.0,16.9,12.9,11.9,102380.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,[1156.6259]
33,2013-01-21,1295.0312,1729.43,24.0,22.0,3.1,0.3,-1.5,99460.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,[1647.6732]
9,2013-06-21,798.339,862.0690000000001,198.0,174.0,19.4,18.8,13.9,101010.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,[856.57385]
46,2013-05-27,821.318,848.935,768.0,310.0,12.0,12.1,6.0,100860.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,[882.9381]
6,2013-08-16,842.564,853.3066666666667,144.0,132.0,20.9,20.2,16.8,101500.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,[903.46497]
44,2013-10-09,909.902,917.0050000000002,78.0,60.0,12.1,15.5,13.2,101990.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[958.3151]
34,2013-02-27,1371.836,1408.3176666666666,198.0,75.0,9.1,4.3,2.0,103440.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[1464.4955]
28,2013-09-27,757.9830000000001,808.8633333333331,420.0,136.0,20.2,14.6,10.4,101610.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,[827.87744]
17,2013-07-22,830.14,801.7433333333335,654.0,279.0,29.6,25.4,17.2,101580.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,[821.6738]
37,2012-10-21,1225.017,1087.5153333333335,0.0,27.0,14.9,11.5,9.3,101810.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,[1127.701]
2,2013-12-03,980.694,988.4403333333332,0.0,13.0,8.9,6.8,5.9,102970.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,[1060.3329]
20,2013-02-14,1124.263,1090.9246666666668,252.0,69.0,10.7,6.4,0.6,101140.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[1129.7131]
6,2013-08-24,889.087,877.6843333333333,0.0,61.0,24.7,18.0,17.2,101100.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,[893.64825]
17,2013-07-19,771.715,789.8080000000001,858.0,324.0,24.6,22.6,15.9,102510.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[824.749]
28,2013-05-01,760.261,762.1766666666664,612.0,253.0,17.6,10.2,3.8,102430.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,[759.54236]
17,2013-10-05,976.471,898.0483333333335,54.0,57.0,19.8,16.0,12.6,102020.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,[950.1219]
4,2013-02-06,1257.425,1252.216,66.0,37.0,5.7,4.4,2.8,100720.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[1274.39]
45,2013-06-05,886.482,878.0616666666666,546.0,265.0,22.9,15.0,8.5,102150.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,[878.6092]
20,2013-06-01,780.148,781.166,474.0,246.0,18.7,14.4,10.0,102340.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,[780.3109]
9,2013-11-21,1115.438,1110.427,126.0,37.0,8.2,5.8,3.3,100450.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,[1130.5554]
51,2014-01-30,964.196,984.948666666667,0.0,19.0,9.5,4.7,3.4,100180.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,[1042.9185]
7,2013-11-17,1066.411,1053.09,0.0,17.0,9.6,6.2,2.7,102430.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,[1043.5504]
31,2012-10-02,751.667,754.884,168.0,85.0,15.1,14.4,10.9,100970.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,[828.45483]
42,2013-12-04,1093.2,1174.6883333333333,0.0,13.0,10.6,7.0,5.1,102940.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,[1195.6097]
32,2013-06-14,834.207,876.8299999999999,306.0,206.0,18.3,14.4,9.1,101570.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,[921.75183]
16,2013-11-28,1080.715,1152.643,0.0,15.0,10.4,8.8,7.2,103470.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,[1169.8402]
38,2012-11-20,1303.457,1300.682,0.0,16.0,12.1,10.3,7.1,100840.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,[1377.345]
55,2013-10-26,932.961,1058.6773333333333,66.0,44.0,16.9,16.1,14.4,100420.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,[1043.2683]
29,2014-02-01,1008.664,1017.1136666666667,336.0,65.0,10.2,5.6,2.0,99000.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,[1037.2362]
40,2012-10-07,682.612,640.5853333333333,192.0,84.0,12.7,9.3,4.7,101790.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,[855.7565]
50,2013-04-01,1350.083,1248.6833333333334,228.0,129.0,8.6,3.8,0.7,101160.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,[1484.8682]
1,2013-07-27,792.723,807.4666666666666,348.0,205.0,24.9,21.8,14.7,100650.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,[835.09357]
38,2013-04-18,1132.383,1240.8033333333333,378.0,185.0,13.6,12.2,8.9,101360.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,[1153.9342]
14,2013-11-09,844.896,850.2413333333334,12.0,25.0,10.2,6.0,3.7,100610.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,[892.3751]
55,2013-01-31,1222.846,1308.9816666666666,222.0,53.0,7.6,8.4,6.6,101250.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,[1355.808]
33,2013-05-13,1060.589,1027.32,378.0,210.0,12.3,13.2,10.5,101170.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,[1151.2499]
44,2013-11-26,1113.425,1078.6423333333337,330.0,53.0,10.9,4.4,0.6,103890.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,[1114.2562]
9,2013-11-07,920.93,1024.1973333333335,36.0,31.0,11.4,10.2,9.2,100640.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,[1033.2635]
41,2013-01-13,1245.811,1121.4070000000004,66.0,26.0,3.4,1.7,-0.3,101910.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[1184.191]
14,2012-11-09,854.609,883.0210000000001,24.0,27.0,10.2,9.7,7.8,101000.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,[954.55225]
45,2013-02-23,1503.73,1492.513333333333,6.0,32.0,2.9,1.3,0.1,102110.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,[1548.8694]
53,2013-06-27,709.5409999999999,714.6730000000001,300.0,204.0,21.5,16.3,11.9,102640.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,[760.58514]
24,2013-06-08,762.059,790.1526666666665,684.0,297.0,15.3,13.8,8.9,102140.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,[788.09235]
50,2013-07-30,757.721,747.0153333333334,186.0,157.0,26.9,18.8,15.2,101350.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,[780.4514]
40,2014-01-15,1053.957,1124.1943333333334,0.0,15.0,10.6,6.3,1.3,99840.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,[1109.0507]
17,2013-01-29,1142.607,1102.382,0.0,18.0,11.7,8.7,3.6,100320.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,[1132.4266]
16,2012-12-25,1421.139,1267.778,18.0,16.0,10.6,8.2,7.0,99560.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,[1341.5087]
13,2013-02-02,950.524,974.2473333333334,348.0,68.0,10.4,4.1,2.4,101600.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,[945.0836]
7,2013-07-24,663.482,674.0510000000002,516.0,247.0,26.9,21.5,15.3,101430.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,[712.44934]
27,2013-01-08,1120.379,1238.7983333333334,42.0,21.0,9.2,9.5,7.4,102420.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,[1213.0775]
34,2013-09-14,1170.109,1135.3206666666665,0.0,49.0,16.2,11.7,9.2,101610.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,[1203.1146]
29,2013-11-06,938.321,912.3866666666668,0.0,21.0,11.2,12.5,9.3,99950.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,[962.90674]
37,2013-08-23,827.648,893.5276666666667,372.0,184.0,18.7,21.7,15.7,101450.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,[919.3085]
44,2013-05-28,833.188,828.7250000000004,0.0,81.0,13.2,10.8,9.6,100050.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,[859.87756]
2,2013-02-27,1097.483,1094.4083333333335,198.0,75.0,9.1,4.3,2.0,103440.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[1150.2764]
7,2013-12-14,1060.678,1043.1453333333336,120.0,28.0,12.7,7.7,3.5,102240.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,[1065.9619]
9,2013-08-11,748.393,721.5230000000001,534.0,234.0,22.8,20.2,16.4,101810.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,[732.1416]
52,2013-07-11,726.116,702.2926666666666,750.0,307.0,25.9,17.6,11.8,102550.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,[742.027]
23,2013-02-12,1124.024,1042.0756666666666,0.0,24.0,8.9,1.6,0.9,101530.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,[1070.7609]
38,2013-01-22,1573.859,1606.5069999999998,0.0,16.0,2.5,-0.8,-4.7,100150.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,[1661.0514]
37,2013-05-15,939.237,914.2883333333332,78.0,121.0,16.9,10.3,6.1,99450.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,[973.7388]
20,2013-03-25,1338.462,1256.9946666666667,0.0,49.0,2.4,0.6,-0.4,101460.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,[1283.6748]
15,2013-08-25,682.431,653.172,294.0,164.0,25.9,18.8,12.9,101330.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,[690.37256]
37,2013-03-13,1302.755,1292.2346666666667,360.0,129.0,7.8,3.8,-0.1,101090.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,[1335.9081]
22,2013-01-13,1206.077,1090.0600000000002,66.0,26.0,3.4,1.7,-0.3,101910.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[1148.1013]
16,2013-07-28,821.485,767.6386666666667,468.0,233.0,24.7,19.8,14.7,100680.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,[860.4556]
22,2012-11-27,1214.884,1264.3253333333334,0.0,15.0,7.2,7.7,6.8,100410.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,[1263.7695]
55,2013-02-17,1202.938,1210.0773333333334,258.0,73.0,9.1,5.7,0.9,102160.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,[1206.6143]
4,2013-01-25,1339.022,1224.297,0.0,17.0,10.7,1.6,-0.5,101440.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,[1279.5096]
8,2013-08-10,621.726,651.5863333333333,168.0,144.0,24.0,18.1,13.2,102200.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,[689.98785]
34,2013-07-29,957.722,960.9836666666664,330.0,199.0,22.3,20.3,15.8,101150.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,[1035.8182]
51,2013-04-24,930.336,946.2773333333332,384.0,193.0,22.8,14.4,8.5,102380.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,[934.69604]
39,2013-09-17,1058.48,1013.18,30.0,64.0,16.3,11.4,8.0,100000.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,[1050.1002]
24,2013-10-27,966.989,850.1106666666665,294.0,77.0,15.2,14.0,11.0,99650.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,[920.91724]
43,2012-10-03,942.702,966.2836666666666,96.0,69.0,16.4,13.1,11.0,100560.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,[980.11707]
49,2014-02-03,980.508,993.348,60.0,34.0,9.4,6.1,3.4,100370.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,[1002.30273]
29,2013-04-13,967.931,936.1266666666668,78.0,99.0,19.9,9.7,4.2,101120.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,[938.32855]
36,2013-12-01,1232.951,1123.455,12.0,17.0,9.7,5.3,0.8,103300.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[1132.8088]
40,2013-05-16,933.018,941.8050000000002,516.0,246.0,12.6,10.2,3.4,99980.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,[994.6278]
35,2013-02-07,1194.509,1279.6453333333334,264.0,64.0,6.1,2.7,-0.3,101820.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,[1250.9615]
46,2013-04-20,972.962,939.7746666666666,786.0,272.0,14.8,8.4,2.8,103250.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[958.4994]
44,2013-10-02,854.338,888.4556666666671,126.0,77.0,19.2,18.0,14.0,101050.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,[894.2444]
11,2012-12-18,1128.525,1171.1096666666665,18.0,16.0,8.7,5.9,3.6,101460.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[1159.1123]
23,2012-11-03,992.645,1051.198,306.0,69.0,8.9,6.3,2.2,99650.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,[1055.7719]
24,2013-08-27,699.046,680.0053333333332,510.0,208.0,24.7,17.8,11.9,101870.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,[715.09424]
12,2013-12-10,1000.735,1002.0793333333336,54.0,21.0,5.5,4.9,0.1,103130.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,[1055.3531]
18,2013-10-21,1048.971,989.9159999999996,0.0,28.0,18.4,15.2,12.2,100570.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,[1066.2379]
55,2013-02-06,1297.836,1295.5893333333331,66.0,37.0,5.7,4.4,2.8,100720.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[1341.534]
49,2013-01-03,1198.432,1181.9060000000002,0.0,13.0,10.3,8.6,5.7,103280.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,[1244.524]
27,2013-08-12,836.672,855.2733333333334,258.0,168.0,21.5,18.2,13.6,101710.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,[845.8196]
35,2013-01-16,1234.041,1335.1866666666667,78.0,28.0,2.6,-1.2,-2.6,101340.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[1373.5677]
20,2012-11-05,1074.716,1041.878,402.0,77.0,10.1,5.3,0.3,100640.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,[1071.2041]
20,2013-09-02,673.823,633.4643333333335,756.0,233.0,26.0,18.8,11.4,102710.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[681.89276]
14,2012-09-28,815.042,770.053,96.0,73.0,16.7,13.3,8.5,101300.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,[822.03546]
28,2013-08-07,672.841,692.0676666666665,438.0,217.0,25.5,18.9,14.7,101450.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[705.53925]
4,2012-10-07,996.617,940.6906666666667,192.0,84.0,12.7,9.3,4.7,101790.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,[995.24384]
41,2013-10-02,781.8629999999999,762.9963333333335,126.0,77.0,19.2,18.0,14.0,101050.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,[785.8706]
54,2012-12-10,1345.843,1930.3253333333328,306.0,43.0,2.6,4.1,2.3,102260.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[1699.3352]
1,2013-09-04,790.184,825.112,750.0,229.0,29.5,21.1,13.7,102070.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[843.61285]
7,2014-01-11,1003.758,1107.209,402.0,55.0,9.9,6.8,4.3,101860.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,[1109.2305]
30,2013-04-14,898.834,821.9503333333333,438.0,193.0,15.7,14.8,9.7,101320.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,[872.2744]
9,2013-08-01,755.667,746.8253333333336,798.0,299.0,26.4,25.3,16.5,100920.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[779.5788]
40,2013-11-15,1055.186,1110.0480000000002,384.0,66.0,10.0,6.7,3.4,103290.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[1121.4396]
7,2013-12-15,1076.731,1031.0266666666669,0.0,12.0,13.3,8.9,5.0,101910.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,[1038.7737]
29,2013-05-21,843.007,859.5626666666667,66.0,118.0,15.0,13.9,12.4,101610.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,[903.1791]
38,2013-09-24,975.534,999.9806666666668,366.0,132.0,21.9,16.1,10.0,101640.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,[1024.0424]
20,2013-02-08,1184.203,1315.5453333333332,276.0,66.0,4.9,3.0,-0.1,101960.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,[1261.6285]
34,2012-10-04,1116.919,1156.2383333333337,450.0,128.0,15.8,11.4,6.4,100820.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,[1135.8778]
47,2013-07-15,730.676,719.4789999999999,756.0,306.0,31.0,24.4,17.8,102310.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[721.3611]
42,2012-10-01,1093.292,1028.915,162.0,85.0,17.9,15.2,13.0,101190.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,[944.4547]
21,2012-10-01,896.887,901.5596666666668,162.0,85.0,17.9,15.2,13.0,101190.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,[831.8047]
50,2014-01-20,1159.342,1153.4823333333334,234.0,46.0,8.7,4.9,0.6,100770.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,[1112.9016]
30,2014-02-16,944.038,905.4193333333332,504.0,101.0,10.8,6.3,1.9,100680.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,[897.5996]
54,2012-12-23,1484.056,1466.071333333333,24.0,17.0,12.5,10.3,8.2,100360.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,[1481.9628]
21,2013-02-06,1086.23,1079.042333333333,66.0,37.0,5.7,4.4,2.8,100720.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[1093.6715]
26,2013-11-06,838.618,844.4816666666669,0.0,21.0,11.2,12.5,9.3,99950.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,[871.7586]
47,2013-02-25,1165.387,1105.07,0.0,30.0,5.0,2.6,0.9,102740.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,[1126.4319]
7,2013-08-27,695.057,651.1283333333334,510.0,208.0,24.7,17.8,11.9,101870.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,[699.47876]
45,2012-10-09,1114.933,1115.9326666666668,228.0,87.0,15.4,11.5,8.7,101610.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[1134.6367]
38,2012-12-07,1548.786,1560.071333333333,258.0,40.0,7.3,2.6,-1.7,100230.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,[1620.8444]
15,2013-05-22,728.471,710.8919999999999,108.0,135.0,11.7,12.4,9.7,101870.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[775.6973]
19,2014-01-25,1055.299,1178.688666666667,90.0,34.0,9.9,8.5,4.6,101260.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,[1169.0609]
15,2012-11-20,1035.093,1005.6436666666668,0.0,16.0,12.1,10.3,7.1,100840.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,[1002.9127]
23,2013-12-18,850.8870000000001,908.7403333333332,66.0,22.0,9.0,7.9,4.9,100770.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,[959.1118]
4,2013-01-15,1360.549,1404.9906666666666,42.0,23.0,0.3,1.3,-0.1,100940.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,[1413.2112]
40,2014-01-02,1080.425,1163.96,312.0,45.0,10.7,8.6,6.1,99330.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,[1198.6136]
25,2013-03-15,954.057,981.5586666666665,18.0,54.0,9.4,5.6,1.8,100740.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,[1037.9437]
46,2013-12-31,1178.992,1128.4583333333333,0.0,13.0,11.4,8.0,5.1,100410.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,[1186.9161]
36,2013-06-04,808.273,792.2923333333333,846.0,329.0,21.5,14.3,7.4,102680.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[811.20264]
53,2013-11-06,1039.149,989.1450000000004,0.0,21.0,11.2,12.5,9.3,99950.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,[1009.3335]
37,2013-07-10,826.388,820.418,768.0,311.0,23.4,19.1,13.6,102560.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[873.24225]
26,2012-12-06,1101.022,1087.4946666666667,0.0,13.0,6.9,0.9,-4.1,101350.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,[1128.054]
28,2013-01-11,998.835,1105.6206666666665,138.0,33.0,4.8,4.1,0.7,101770.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,[1103.0763]
23,2013-06-17,716.803,728.349,12.0,95.0,21.0,17.0,12.7,101400.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,[726.3168]
31,2013-08-16,602.495,593.8286666666667,144.0,132.0,20.9,20.2,16.8,101500.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,[665.5658]
50,2013-11-18,1103.565,1137.0586666666668,0.0,17.0,6.4,8.8,7.9,101100.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,[1118.0848]
9,2013-08-30,721.165,743.3270000000001,491.99999999999994,200.0,21.4,20.3,15.1,101970.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,[740.7097]
26,2013-04-11,899.039,855.0996666666668,84.0,99.0,13.2,9.2,4.9,99710.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,[880.594]
42,2012-12-29,1148.291,1147.4523333333334,0.0,12.0,11.4,10.1,8.5,100390.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,[1192.4835]
1,2013-11-28,1026.521,1071.4596666666666,0.0,15.0,10.4,8.8,7.2,103470.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,[1108.9913]
13,2013-02-10,980.458,949.8093333333333,0.0,23.0,2.0,4.0,2.7,99930.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,[979.46936]
49,2013-08-08,699.221,723.3756666666668,570.0,245.0,24.9,18.9,12.2,101930.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,[706.2636]
1,2013-02-03,1482.164,1300.164,0.0,20.0,11.0,4.6,-1.3,101890.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,[1340.2399]
14,2013-10-13,848.5219999999999,840.5780000000001,0.0,32.0,11.8,10.5,9.6,101070.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,[849.1373]
55,2012-12-04,1333.327,1358.762,288.0,44.0,4.1,4.6,1.0,100370.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,[1436.1945]
52,2012-10-03,945.107,955.138,96.0,69.0,16.4,13.1,11.0,100560.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,[902.4789]
47,2014-02-06,957.136,934.5863333333332,0.0,21.0,9.8,8.4,6.7,98980.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,[960.8093]
21,2013-06-25,695.355,697.3363333333333,474.0,250.0,22.5,16.0,10.8,102890.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,[711.1161]
50,2013-07-27,693.189,733.6773333333334,348.0,205.0,24.9,21.8,14.7,100650.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,[773.4175]
52,2014-01-25,980.732,1046.7029999999995,90.0,34.0,9.9,8.5,4.6,101260.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,[1053.3112]
18,2012-10-26,1252.733,1375.9066666666668,0.0,25.0,9.1,8.6,8.0,101280.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,[1355.634]
45,2012-10-22,1110.606,1070.2826666666667,0.0,27.0,13.8,12.8,10.7,102020.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,[1124.1569]
46,2013-01-04,1105.644,1168.6719999999998,0.0,13.0,10.9,9.7,9.1,103740.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,[1184.9808]
